Recipe,Ingredients,Process
Chicken Korma,"1 pound boneless, skinless chicken thighs; 1/2 cup plain yogurt; 1 tablespoon ginger garlic paste; 1/2 cup chopped onions; 1/4 cup cashews; 1/4 cup grated coconut; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1/2 teaspoon garam masala; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","Marinate chicken with yogurt, ginger garlic paste, and salt. Refrigerate for at least 30 minutes. In a blender, combine chopped onions, cashews, grated coconut, ground cumin, ground coriander, turmeric powder, red chili powder, and garam masala. Blend into a smooth paste. Heat oil in a pan. Add the spice paste and sauté until the oil separates. Add marinated chicken and cook until it's no longer pink. Pour in water and simmer until the chicken is cooked and the gravy thickens. Garnish with chopped cilantro. Serve hot with rice or naan."
Paneer Butter Masala,"1 cup paneer (cottage cheese) cubes; 1 onion, finely chopped; 2 tomatoes, chopped; 1 tablespoon ginger garlic paste; 1/4 cup cashews; 1/4 cup milk; 2 tablespoons butter; 1 teaspoon red chili powder; 1 teaspoon garam masala; 1/2 teaspoon ground coriander; 1/2 teaspoon ground cumin; 1/4 teaspoon turmeric powder; Salt to taste; Chopped cilantro for garnish","Grind cashews and milk into a smooth paste. Heat butter in a pan. Add chopped onions and sauté until golden brown. Stir in ginger garlic paste and cook for a minute. Add chopped tomatoes and cook until they turn soft. Add red chili powder, garam masala, ground coriander, ground cumin, turmeric powder, and salt. Cook for a few minutes. Add the cashew-milk paste and cook until the gravy thickens. Add paneer cubes and simmer for 2-3 minutes. Garnish with chopped cilantro. Serve hot with naan or rice."
Masala Dosa,"For the Dosa Batter: 2 cups parboiled rice; 1/2 cup urad dal (black gram); 1/2 teaspoon fenugreek seeds; Water (as needed); Salt to taste; For the Masala Filling: 2 cups boiled and mashed potatoes; 1/2 cup chopped onions; 1/4 cup chopped green chilies; 1/2 teaspoon mustard seeds; 1/2 teaspoon cumin seeds; 1/2 teaspoon urad dal; 1/2 teaspoon chana dal; 1/2 teaspoon turmeric powder; 1/2 teaspoon asafoetida (hing); 2 tablespoons vegetable oil; Salt to taste; Oil for greasing dosa; Coconut chutney and sambar for serving","Dosa Batter: Soak rice, urad dal, and fenugreek seeds in water for 4-5 hours. Grind into a smooth batter. Add salt and water if needed. Let it ferment overnight. Masala Filling: Heat oil in a pan. Add mustard seeds, cumin seeds, urad dal, and chana dal. Let them splutter. Add asafoetida and chopped onions. Sauté until onions are translucent. Add chopped green chilies, turmeric powder, and salt. Stir in boiled and mashed potatoes. Cook for a few minutes. Making Dosas: Heat a non-stick griddle or dosa pan. Grease it with oil. Pour a ladle of dosa batter and spread it thinly. Cook until the dosa is crisp and golden. Place a portion of the masala filling on one side of the dosa and fold it. Serve hot with coconut chutney and sambar."
Rice Pilaf,"2 cups Basmati rice; 2 tablespoons ghee; 1 onion, thinly sliced; 1/2 cup mixed vegetables (peas, carrots, corn); 1/2 teaspoon cumin seeds; 1/2 teaspoon cinnamon powder; 1/2 teaspoon cardamom pods; 1/4 cup cashews; 4 cups water; Salt to taste; Chopped cilantro for garnish","Rinse and soak Basmati rice in water for 30 minutes, then drain. Heat ghee in a large pot. Add cumin seeds, cinnamon powder, and cardamom pods. Sauté for a minute. Add sliced onions and sauté until golden brown. Stir in mixed vegetables and cashews. Cook for a few minutes. Add soaked and drained rice. Mix well. Pour in water and add salt. Bring to a boil. Reduce heat, cover, and simmer for 15-20 minutes until rice is cooked and the liquid is absorbed. Garnish with chopped cilantro. Serve hot."
Gobi Manchurian,"For the Gobi (Cauliflower) Fritters: 2 cups cauliflower florets; 1/2 cup all-purpose flour; 1/4 cup cornstarch; 1 teaspoon ginger garlic paste; 1/2 teaspoon red chili powder; 1/4 teaspoon black pepper; Water (as needed); Salt to taste; Oil for frying; For the Manchurian Sauce: 1 onion, finely chopped; 1 bell pepper, finely chopped; 2 cloves garlic, minced; 1 tablespoon ginger, minced; 2 tablespoons soy sauce; 1 tablespoon tomato ketchup; 1 teaspoon red chili sauce (adjust to taste); 1 teaspoon vinegar; 1 teaspoon sugar; 1/2 teaspoon black pepper; 1/2 teaspoon cornstarch mixed with 2 tablespoons water; Chopped spring onions for garnish","Gobi Fritters: In a bowl, combine all-purpose flour, cornstarch, ginger garlic paste, red chili powder, black pepper, and salt. Add water to form a batter. Dip cauliflower florets in the batter and deep fry until golden brown. Manchurian Sauce: Heat oil in a pan. Add minced garlic and ginger. Sauté for a minute. Add chopped onions and bell peppers. Cook until they turn soft. Stir in soy sauce, tomato ketchup, red chili sauce, vinegar, sugar, black pepper, and salt. Add cornstarch-water mixture to thicken the sauce. Add fried cauliflower florets and toss to coat in the sauce. Garnish with chopped spring onions. Serve hot."
Bhindi Masala,"2 cups okra (bhindi), washed, dried, and sliced; 1 onion, finely chopped; 1 tomato, chopped; 1 tablespoon ginger garlic paste; 1 green chili, chopped (adjust to taste); 1/2 teaspoon cumin seeds; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder (adjust to taste); 1 teaspoon ground cumin; 1 teaspoon ground coriander; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","Heat oil in a pan. Add cumin seeds and let them splutter. Add chopped onions and sauté until golden brown. Stir in ginger garlic paste and green chili. Cook for a minute. Add chopped tomatoes and cook until they turn soft. Add turmeric powder, red chili powder, ground cumin, ground coriander, and salt. Cook for a few minutes. Add sliced okra and cook until they are tender and slightly crispy. Garnish with chopped cilantro. Serve hot with roti or rice."
Chicken Biryani,"2 cups Basmati rice; 1 pound chicken, cut into pieces; 1/2 cup plain yogurt; 1 tablespoon ginger garlic paste; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; Salt to taste; 2 tablespoons ghee; 1 onion, thinly sliced; 2 tomatoes, chopped; 1/2 cup chopped mint leaves; 1/2 cup chopped cilantro; 2 tablespoons fried onions (for garnish); Saffron strands soaked in milk (for garnish)","Rinse and soak Basmati rice in water for 30 minutes, then drain. Marinate chicken with yogurt, ginger garlic paste, ground cumin, ground coriander, turmeric powder, red chili powder, and salt. Refrigerate for at least 30 minutes. Heat ghee in a large pot. Add sliced onions and sauté until golden brown. Stir in chopped tomatoes, mint leaves, and cilantro. Cook until tomatoes turn soft. Add marinated chicken and cook until it's no longer pink. Layer the rice over the chicken mixture. Sprinkle fried onions and saffron-soaked milk on top. Cover and cook on low heat for 20-25 minutes until rice is cooked and flavors meld together. Serve hot."
Mutton Curry,"1 pound mutton pieces; 1 onion, finely chopped; 2 tomatoes, chopped; 1 tablespoon ginger garlic paste; 1/2 cup plain yogurt; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder (adjust to taste); 1 teaspoon garam masala; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","Marinate mutton pieces with yogurt, ginger garlic paste, ground cumin, ground coriander, turmeric powder, red chili powder, and salt. Refrigerate for at least 2 hours. Heat oil in a pressure cooker or heavy-bottomed pot. Add chopped onions and sauté until golden brown. Stir in chopped tomatoes and cook until they turn soft. Add marinated mutton and cook until it's browned. Add water and pressure cook for 4-5 whistles or simmer until mutton is tender. Sprinkle garam masala and garnish with chopped cilantro. Serve hot with rice or naan."
Vegetable Pulao,"2 cups Basmati rice; 2 tablespoons ghee; 1 onion, thinly sliced; 1/2 cup mixed vegetables (carrots, peas, beans, corn); 1 teaspoon cumin seeds; 1/2 teaspoon cinnamon powder; 1/2 teaspoon cardamom pods; 1/4 cup cashews; 4 cups water; Salt to taste; Chopped cilantro for garnish","Rinse and soak Basmati rice in water for 30 minutes, then drain. Heat ghee in a large pot. Add cumin seeds, cinnamon powder, and cardamom pods. Sauté for a minute. Add sliced onions and sauté until golden brown. Stir in mixed vegetables and cashews. Cook for a few minutes. Add soaked and drained rice. Mix well. Pour in water and add salt. Bring to a boil. Reduce heat, cover, and simmer for 15-20 minutes until rice is cooked and the liquid is absorbed. Garnish with chopped cilantro. Serve hot."
Egg Curry,"4 eggs, hard-boiled and peeled; 1 onion, finely chopped; 2 tomatoes, chopped; 1 tablespoon ginger garlic paste; 1/2 cup plain yogurt; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder (adjust to taste); 1 teaspoon garam masala; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","Heat oil in a pan. Add chopped onions and sauté until golden brown. Stir in ginger garlic paste and cook for a minute. Add chopped tomatoes and cook until they turn soft. Add ground cumin, ground coriander, turmeric powder, red chili powder, and salt. Cook for a few minutes. Whisk yogurt and add it to the pan. Simmer for a few minutes. Cut hard-boiled eggs in half and add them to the curry. Sprinkle garam masala and garnish with chopped cilantro. Serve hot with rice or naan."
Veggie Quesadilla,"2 large flour tortillas; 1 cup grated cheddar cheese; 1 cup cooked black beans; 1 cup diced bell peppers (red, green, yellow); 1/2 cup diced red onion; 1/2 cup corn kernels; 1/2 cup chopped fresh cilantro; 1 teaspoon chili powder; 1/2 teaspoon cumin powder; Salt and pepper to taste; Cooking spray; Sour cream and salsa for serving","In a bowl, combine black beans, diced bell peppers, red onion, corn kernels, chopped cilantro, chili powder, cumin powder, salt, and pepper. Place one tortilla in a heated skillet or griddle. Sprinkle half of the grated cheddar cheese evenly over the tortilla. Spread the veggie mixture evenly over the cheese. Top with the remaining cheese and the other tortilla. Cook until the bottom tortilla is crispy and golden. Carefully flip the quesadilla and cook the other side until crispy and the cheese is melted. Remove from heat and cut into wedges. Serve hot with sour cream and salsa."
Lentil Soup,"1 cup red lentils, washed and drained; 1 onion, finely chopped; 2 carrots, diced; 2 celery stalks, diced; 2 cloves garlic, minced; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili flakes (adjust to taste); 8 cups vegetable broth; 2 tablespoons olive oil; Salt and pepper to taste; Fresh lemon juice for garnish","Heat olive oil in a large pot. Add chopped onions, carrots, and celery. Sauté until the vegetables are tender. Stir in minced garlic, ground cumin, ground coriander, turmeric powder, and red chili flakes. Cook for a minute. Add red lentils and vegetable broth. Bring to a boil, then reduce heat and simmer for 20-25 minutes until lentils are soft and cooked through. Use an immersion blender to puree the soup until smooth. Season with salt, pepper, and fresh lemon juice. Serve hot."
Pasta Primavera,"8 ounces pasta (linguine or spaghetti); 1 cup broccoli florets; 1/2 cup diced bell peppers (red, green, yellow); 1/2 cup diced zucchini; 1/2 cup cherry tomatoes, halved; 1/4 cup sliced black olives; 2 cloves garlic, minced; 2 tablespoons olive oil; 1/2 cup heavy cream; 1/4 cup grated Parmesan cheese; Salt and pepper to taste; Chopped fresh basil for garnish","Cook pasta according to package instructions. In a large skillet, heat olive oil over medium heat. Add minced garlic and sauté for a minute. Add broccoli florets, bell peppers, and zucchini. Cook until the vegetables are tender. Stir in cherry tomatoes and black olives. Pour in heavy cream and grated Parmesan cheese. Cook until the sauce thickens. Season with salt and pepper. Toss the cooked pasta with the sauce and vegetables. Garnish with chopped fresh basil. Serve hot."
Shrimp Scampi,"8 ounces linguine or spaghetti; 1/2 pound large shrimp, peeled and deveined; 2 tablespoons unsalted butter; 2 tablespoons olive oil; 4 cloves garlic, minced; 1/4 cup white wine; Juice of 1 lemon; Zest of 1 lemon; 1/4 cup chopped fresh parsley; Salt and black pepper to taste; Grated Parmesan cheese for garnish","Cook pasta according to package instructions. Season shrimp with salt and black pepper. In a large skillet, heat olive oil and butter over medium-high heat. Add minced garlic and sauté until fragrant. Add shrimp and cook until pink, about 2-3 minutes per side. Remove shrimp from the pan. Pour in white wine, lemon juice, and lemon zest. Cook for a few minutes to reduce the sauce. Return shrimp to the pan and add cooked pasta. Toss to coat in the sauce. Stir in chopped fresh parsley. Serve hot with grated Parmesan cheese."
Beef Stir-Fry,"1 pound beef sirloin, thinly sliced; 2 cups broccoli florets; 1 bell pepper, sliced; 1 onion, sliced; 2 cloves garlic, minced; 1/4 cup soy sauce; 2 tablespoons oyster sauce; 1 tablespoon brown sugar; 1 tablespoon cornstarch; 2 tablespoons vegetable oil; Salt and black pepper to taste; Cooked rice for serving","In a bowl, whisk together soy sauce, oyster sauce, brown sugar, and cornstarch. Season sliced beef with salt and black pepper. Heat vegetable oil in a large skillet or wok over high heat. Add minced garlic and stir-fry for a minute. Add sliced beef and cook until browned. Remove beef from the pan. Add sliced onion, bell pepper, and broccoli florets. Stir-fry until vegetables are tender. Return cooked beef to the pan and pour in the sauce mixture. Cook until the sauce thickens and coats the beef and vegetables. Serve hot over cooked rice."
Butter Chicken,"1 pound boneless, skinless chicken thighs; 1/2 cup plain yogurt; 1 tablespoon ginger garlic paste; 1 teaspoon red chili powder; Salt to taste; 2 tablespoons butter; 1 tablespoon vegetable oil; 2 onions, finely chopped; 1 tablespoon ginger garlic paste; 1 teaspoon red chili powder; 1 teaspoon garam masala; 1 cup tomato puree; 1/2 cup heavy cream; 2 tablespoons dried fenugreek leaves (kasuri methi); Salt to taste; Chopped cilantro for garnish","Marinate chicken with yogurt, ginger garlic paste, red chili powder, and salt. Refrigerate for at least 30 minutes. Heat butter and oil in a pan. Add chopped onions and sauté until golden brown. Add ginger garlic paste, red chili powder, and garam masala. Cook for a few minutes. Add tomato puree and cook until the oil separates. Add marinated chicken and cook until it's no longer pink. Pour in heavy cream and dried fenugreek leaves. Simmer for a few minutes. Season with salt and garnish with chopped cilantro. Serve hot with naan or rice."
Chana Masala,"2 cups cooked chickpeas; 2 tablespoons vegetable oil; 1 large onion, finely chopped; 1 tablespoon ginger garlic paste; 2 tomatoes, finely chopped; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1 teaspoon garam masala; Salt to taste; Chopped cilantro for garnish","Heat oil in a pan. Add chopped onions and sauté until translucent. Add ginger garlic paste and cook for a few minutes until the raw smell disappears. Add chopped tomatoes and cook until they turn soft. Stir in ground cumin, ground coriander, turmeric powder, red chili powder, and salt. Cook for a few minutes. Add cooked chickpeas and simmer for about 10 minutes. Sprinkle garam masala and garnish with chopped cilantro. Serve hot with rice or naan."
Vegetable Biryani,"2 cups Basmati rice; 2 tablespoons ghee; 1 onion, thinly sliced; 1 green bell pepper, chopped; 1 red bell pepper, chopped; 1 carrot, diced; 1/2 cup green peas; 1/2 cup cauliflower florets; 1/2 cup green beans, chopped; 1 tablespoon ginger garlic paste; 1 teaspoon cumin seeds; 1 teaspoon garam masala; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 2 cups vegetable broth; Salt to taste; Chopped cilantro for garnish","Rinse and soak Basmati rice in water for 30 minutes, then drain. Heat ghee in a large pot. Add cumin seeds and let them splutter. Add sliced onions and sauté until golden brown. Stir in ginger garlic paste and cook for a minute. Add chopped vegetables and sauté for 5 minutes. Add ground coriander, turmeric powder, red chili powder, and salt. Cook for a few minutes. Add soaked and drained rice. Stir well to coat the rice with spices. Pour in vegetable broth and bring to a boil. Reduce heat, cover, and simmer for 15-20 minutes until rice is cooked and the liquid is absorbed. Sprinkle garam masala and garnish with chopped cilantro. Serve hot."
Chicken Tikka Masala,"1 pound boneless, skinless chicken thighs, cut into bite-sized pieces; 1 cup plain yogurt; 2 tablespoons ginger garlic paste; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; Salt to taste; 2 tablespoons butter; 1 onion, finely chopped; 2 tomatoes, pureed; 1 teaspoon garam masala; 1/2 cup heavy cream; Chopped cilantro for garnish","Marinate the chicken with yogurt, ginger garlic paste, ground cumin, ground coriander, turmeric powder, red chili powder, and salt. Refrigerate for at least 2 hours. Grill or broil the marinated chicken until fully cooked. In a separate pan, heat butter and sauté chopped onions until golden brown. Add tomato puree and garam masala. Cook until the oil separates. Stir in grilled chicken and heavy cream. Simmer for a few minutes. Garnish with chopped cilantro. Serve hot with naan or rice."
Palak Paneer,"1 cup paneer (cottage cheese) cubes; 4 cups fresh spinach leaves, washed and blanched; 1 onion, finely chopped; 1 tomato, chopped; 1 tablespoon ginger garlic paste; 1 green chili, chopped (adjust to taste); 1 teaspoon cumin seeds; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1/2 teaspoon garam masala; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","Blend blanched spinach leaves into a smooth paste. Heat oil in a pan. Add cumin seeds and let them splutter. Add chopped onions and sauté until translucent. Stir in ginger garlic paste and green chili. Cook for a minute. Add chopped tomatoes and cook until they turn soft. Add ground cumin, ground coriander, turmeric powder, garam masala, and salt. Cook for a few minutes. Add spinach puree and cook for 5-7 minutes. Add paneer cubes and simmer for 2-3 minutes. Garnish with chopped cilantro. Serve hot with naan or rice."
Aloo Gobi,"2 cups cauliflower florets; 2 cups potatoes, diced; 1 onion, finely chopped; 1 tomato, chopped; 1 tablespoon ginger garlic paste; 1 teaspoon cumin seeds; 1/2 teaspoon turmeric powder; 1/2 teaspoon red chili powder; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon garam masala; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","Heat oil in a pan. Add cumin seeds and let them splutter. Add chopped onions and sauté until golden brown. Stir in ginger garlic paste and cook for a minute. Add chopped tomatoes and cook until they turn soft. Add turmeric powder, red chili powder, ground cumin, ground coriander, garam masala, and salt. Cook for a few minutes. Add cauliflower florets and diced potatoes. Mix well. Cover and simmer for 15-20 minutes until vegetables are tender. Garnish with chopped cilantro. Serve hot with naan or rice."
Rogan Josh,"1 pound boneless lamb, cubed; 2 onions, finely chopped; 2 tomatoes, chopped; 1 tablespoon ginger garlic paste; 1/2 cup plain yogurt; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1 teaspoon red chili powder (adjust to taste); 1 teaspoon garam masala; 4 tablespoons vegetable oil; Salt to taste; Chopped cilantro for garnish","Heat oil in a pan. Add chopped onions and sauté until golden brown. Stir in ginger garlic paste and cook for a minute. Add chopped tomatoes and cook until they turn soft. Add ground cumin, ground coriander, turmeric powder, red chili powder, and salt. Cook for a few minutes. Add cubed lamb and cook until it's no longer pink. Whisk yogurt and add it to the pan. Simmer for a few minutes. Sprinkle garam masala and garnish with chopped cilantro. Serve hot with naan or rice."
Tandoori Chicken,"4 bone-in chicken thighs; 1 cup plain yogurt; 2 tablespoons ginger garlic paste; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon turmeric powder; 1 teaspoon red chili powder (adjust to taste); 1 teaspoon garam masala; 2 tablespoons vegetable oil; Salt to taste; Chopped cilantro and lemon wedges for garnish","Marinate chicken with yogurt, ginger garlic paste, ground cumin, ground coriander, turmeric powder, red chili powder, garam masala, vegetable oil, and salt. Refrigerate for at least 2 hours. Preheat a grill or broiler. Grill the marinated chicken until fully cooked and charred on the outside. Garnish with chopped cilantro and lemon wedges. Serve hot."
Tandoori Naan,"2 cups all-purpose flour; 1/2 teaspoon baking soda; 1/2 teaspoon sugar; 1/2 teaspoon salt; 2 tablespoons plain yogurt; 2 tablespoons vegetable oil; 1/2 cup warm water (approximately); 2 tablespoons melted butter (for brushing); Chopped cilantro for garnish","In a bowl, combine all-purpose flour, baking soda, sugar, and salt. Add yogurt and vegetable oil. Mix well. Gradually add warm water to form a soft dough. Knead for 5-7 minutes. Cover and let the dough rest for 2 hours. Preheat a grill or tandoor. Divide the dough into small portions and roll each portion into an oval shape. Place the naan on the grill or tandoor and cook until puffed and lightly browned on both sides. Brush with melted butter and garnish with chopped cilantro. Serve hot."
Samosa,"For the Samosa Dough: 2 cups all-purpose flour; 1/4 cup vegetable oil; 1/2 teaspoon salt; Water (as needed); For the Samosa Filling: 2 cups boiled and mashed potatoes; 1/2 cup boiled green peas; 1 teaspoon cumin seeds; 1 teaspoon mustard seeds; 1 teaspoon ginger garlic paste; 1 green chili, chopped (adjust to taste); 1/2 teaspoon turmeric powder; 1 teaspoon ground cumin; 1 teaspoon ground coriander; 1/2 teaspoon red chili powder (adjust to taste); 2 tablespoons vegetable oil; Salt to taste; Oil for frying","Samosa Dough: In a bowl, combine all-purpose flour, vegetable oil, and salt. Gradually add water and knead into a smooth dough. Cover and let it rest for 30 minutes. Samosa Filling: Heat vegetable oil in a pan. Add cumin seeds and mustard seeds. Let them splutter. Add ginger garlic paste and green chili. Cook for a minute. Stir in turmeric powder, ground cumin, ground coriander, red chili powder, and salt. Add mashed potatoes and boiled green peas. Mix well and cook for a few minutes. Assembling Samosas: Divide the dough into small portions and roll each portion into a thin oval shape. Cut each oval in half to form two semi-circles. Fold each semi-circle into a cone shape and seal the edges with water. Fill each cone with the potato-pea mixture. Seal the open edge to form a triangular samosa. Heat oil for frying and deep fry the samosas until golden brown. Serve hot with chutney or ketchup."
"Grilled Salmon","4 salmon fillets; 2 tablespoons olive oil; 2 cloves garlic, minced; 1 lemon, sliced; 1 teaspoon dried oregano; Salt and black pepper to taste; Chopped fresh parsley for garnish","Brush salmon fillets with olive oil and minced garlic. Season with dried oregano, salt, and black pepper. Place lemon slices on top. Grill for 4-5 minutes per side until salmon flakes easily. Garnish with chopped fresh parsley. Serve hot with a side of steamed vegetables."
"Caprese Salad","4 ripe tomatoes, sliced; 1 cup fresh mozzarella cheese, sliced; 1/2 cup fresh basil leaves; 2 tablespoons balsamic vinegar; 2 tablespoons olive oil; Salt and black pepper to taste","Arrange tomato and mozzarella slices on a plate, alternating with fresh basil leaves. Drizzle with balsamic vinegar and olive oil. Season with salt and black pepper. Serve as a refreshing salad."
"Spinach and Mushroom Quiche","1 pie crust; 1 cup fresh spinach, chopped; 1 cup mushrooms, sliced; 1/2 cup grated cheddar cheese; 4 large eggs; 1 cup milk; Salt and black pepper to taste","Preheat oven to 375°F (190°C). Line a pie crust with chopped spinach and sliced mushrooms. Sprinkle grated cheddar cheese on top. In a bowl, whisk together eggs and milk. Season with salt and black pepper. Pour the egg mixture over the spinach, mushrooms, and cheese. Bake for 35-40 minutes until the quiche is set and golden brown. Let it cool slightly before slicing."
"Teriyaki Chicken","4 boneless, skinless chicken breasts; 1/2 cup teriyaki sauce; 1/4 cup soy sauce; 2 tablespoons honey; 2 cloves garlic, minced; 1 teaspoon ginger, minced; Sesame seeds for garnish","In a bowl, whisk together teriyaki sauce, soy sauce, honey, minced garlic, and minced ginger. Marinate chicken breasts in the sauce for 30 minutes. Grill or pan-sear chicken until fully cooked, brushing with marinade. Garnish with sesame seeds. Serve hot with steamed rice and vegetables."
